disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Constitucional;Remédios Constitucionais;Fácil;Qual remédio constitucional é cabível para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros de entidades governamentais?;Habeas Corpus;Mandado de Segurança;Habeas Data;Ação Popular;;c;Correto. Habeas Data ('dê-me os dados') é para acesso ou retificação de informações pessoais.;Data = Dados. Corpus = Corpo.;Art. 5º, LXXII da CF/88
Matemática;Geometria (Área);Médio;Qual a área de um círculo com raio de 10 cm? (Considere π = 3,14);31,4 cm²;62,8 cm²;314 cm²;100 cm²;;c;Correto. A área é π * r². A = 3,14 * (10*10) = 3,14 * 100 = 314 cm².;Cuidado para não confundir a fórmula da Área (πr²) com a da Circunferência (2πr).;A = π * r²
Psicologia (Gestão);Behaviorismo (Comportamental);Fácil;Na teoria de B.F. Skinner, o ato de adicionar uma recompensa (ex: um bônus) após um comportamento desejado (ex: bater a meta) para aumentar a chance desse comportamento se repetir, é chamado de:;Reforço Negativo;Punição Positiva;Reforço Positivo;Extinção;;c;Correto. Reforço Positivo é a ADIÇÃO de algo bom (recompensa).;Positivo = Adicionar. Negativo = Retirar. Reforço = Aumentar Comportamento. Punição = Diminuir Comportamento.;N/A
Atualidades;Relações Internacionais;Médio;Em 2024, o bloco de países conhecido como BRICS (Brasil, Rússia, Índia, China, África do Sul) passou por uma grande expansão, adicionando novos membros. Qual dos seguintes países NÃO se tornou membro pleno em 2024?;Egito;Irã;Arábia Saudita;Argentina;;d;Correto. A Argentina foi convidada, mas o novo governo (de Javier Milei) formalmente recusou o convite.;A expansão incluiu Egito, Etiópia, Irã, Arábia Saudita e Emirados Árabes Unidos.;N/A
Língua Portuguesa;Uso dos 'Porquês';Médio;Complete a frase: 'Eu não sei ___ ela faltou, mas sei que foi ___ estava doente.';por que / porque;porque / por que;por quê / porquê;por que / por quê;;a;Correto. 'por que' (separado) é usado para perguntas (diretas ou indiretas, 'por qual motivo'). 'porque' (junto) é usado para respostas (explicação).;Por que = Pergunta/Motivo. Porque = Resposta/Explicação. Por quê = Fim de frase. O Porquê = Substantivo.;N/A
Direito Administrativo;Licitações (Inexigibilidade);Difícil;A contratação de um artista consagrado pela crítica especializada ou pela opinião pública é um exemplo clássico de:;Licitação Dispensada;Licitação Dispensável;Concorrência;Inexigibilidade de Licitação;;d;Correto. Inexigibilidade (Art. 74 da Lei 14.133) ocorre quando há 'inviabilidade de competição', como na contratação de artista exclusivo ou notória especialização.;Inexigível = Impossível competir (ex: um show do Zeca Pagodinho, só o Zeca Pagodinho pode fazer).;Art. 74, II, Lei 14.133/21
Raciocínio Lógico;Tabela Verdade (Bicondicional);Médio;Na proposição composta P <-> Q (Bicondicional, 'Se e somente se'), o resultado lógico será Verdadeiro (V) quando:;Os valores de P e Q forem diferentes.;Os valores de P e Q forem iguais.;P for V e Q for F.;P for F e Q for V.;;b;Correto. A bicondicional só é verdade se ambos forem verdadeiros (V-V) ou ambos falsos (F-F).;A Bicondicional exige igualdade. Pense nela como um 'detector de igualdade'.;N/A
Direito Constitucional;Poder Executivo;Fácil;Qual o instrumento com força de lei que pode ser adotado pelo Presidente da República, em casos de relevância e urgência?;Decreto Legislativo;Medida Provisória;Lei Delegada;Emenda Constitucional;;b;Correto. A Medida Provisória (MP) tem força de lei e é usada para relevância e urgência, mas precisa de aprovação posterior do Congresso.;MP = Relevância + Urgência.;Art. 62 da CF/88
Matemática;Juros Compostos;Difícil;Um capital de R$ 5.000,00 foi aplicado a juros compostos e, após 2 meses, gerou um montante de R$ 5.512,50. Qual foi a taxa de juros mensal?;2%;3,5%;4%;5%;;d;Correto. M = C(1+i)^t => 5512,50 = 5000(1+i)² => (1+i)² = 1,1025 => (1+i) = sqrt(1,1025) => 1+i = 1,05 => i = 0,05 (ou 5%).;É o inverso do cálculo do montante. Você precisa achar a raiz quadrada.;M = C * (1 + i)^t
Psicologia (Saúde);Psicanálise (Freud);Fácil;Segundo Freud, a instância psíquica que opera pelo 'Princípio da Realidade', mediando os impulsos do Id e as regras do Superego, é o:;Ego;Id;Superego;Inconsciente;;a;Correto. O Ego é o 'executivo' da personalidade, buscando o equilíbrio com a realidade.;Id = Prazer. Ego = Realidade. Superego = Moral.;N/A
Psicologia (Gestão);Terapia Cognitivo-Comportamental (TCC);Médio;Na TCC, o modelo cognitivo propõe que as emoções e comportamentos são influenciados pela interpretação (cognição) dos eventos. O que Aaron Beck chamou de 'pensamentos que surgem rapidamente e parecem plausíveis'?;Distorções Cognitivas;Crenças Centrais;Pensamentos Automáticos;Esquemas;;c;Correto. Pensamentos Automáticos são o fluxo de consciência superficial (ex: 'ele não me cumprimentou, ele me odeia').;Situação -> Pensamento Automático -> Emoção/Comportamento;N/A
Atualidades;Demografia;Fácil;O fenômeno demográfico observado no Brasil e em grande parte do mundo, caracterizado pela diminuição da taxa de natalidade e aumento da expectativa de vida, resultando em maior proporção de idosos, é chamado de:;Crescimento Vegetativo;Transição Demográfica;Inchaço Urbano;Êxodo Rural;;b;Correto. A Transição Demográfica é o processo que leva a esse envelhecimento.;O resultado final da Transição Demográfica é o envelhecimento da população.;N/A
Língua Portuguesa;Acentuação;Fácil;Qual palavra é acentuada pela mesma regra de 'história'?;País;Saúde;Família;Útil;;c;Correto. 'História' e 'Família' são paroxítonas terminadas em ditongo crescente.;A regra é: Paroxítona terminada em ditongo.;N/A
Direito Administrativo;Bens Públicos;Médio;O ato pelo qual o Estado retira a destinação pública de um bem de uso especial (como um prédio escolar desativado), tornando-o um bem dominical, chama-se:;Afetação;Desafetação;Tombamento;Desapropriação;;b;Correto. Desafetação é o ato de RETIRAR a destinação pública.;Afetar = Ligar (a um uso). Desafetar = Desligar (do uso).;N/A
Raciocínio Lógico;Negação (Proposições Categóricas);Médio;Qual é a negação de 'Algum político é honesto'?;Algum político não é honesto.;Nenhum político é honesto.;Todo político é honesto.;Todo político não é honesto.;;b;Correto. A negação de 'Algum A é B' (particular afirmativa) é 'Nenhum A é B' (universal negativa).;Negação de ALGUM = NENHUM. Negação de TODO = ALGUM NÃO.;Negação de ∃x, P(x) é ∀x, ~P(x)
Direito Constitucional;Remédios Constitucionais;Fácil;Qual remédio constitucional é cabível para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros de entidades governamentais?;Habeas Corpus;Mandado de Segurança;Habeas Data;Ação Popular;;c;Correto. Habeas Data ('dê-me os dados') é para acesso ou retificação de informações pessoais.;Data = Dados. Corpus = Corpo.;Art. 5º, LXXII da CF/88
Matemática;Geometria (Área);Médio;Qual a área de um círculo com raio de 10 cm? (Considere π = 3,14);31,4 cm²;62,8 cm²;314 cm²;100 cm²;;c;Correto. A área é π * r². A = 3,14 * (10*10) = 3,14 * 100 = 314 cm².;Cuidado para não confundir a fórmula da Área (πr²) com a da Circunferência (2πr).;A = π * r²
Psicologia (Gestão);Behaviorismo (Comportamental);Fácil;Na teoria de B.F. Skinner, o ato de adicionar uma recompensa (ex: um bônus) após um comportamento desejado (ex: bater a meta) para aumentar a chance desse comportamento se repetir, é chamado de:;Reforço Negativo;Punição Positiva;Reforço Positivo;Extinção;;c;Correto. Reforço Positivo é a ADIÇÃO de algo bom (recompensa).;Positivo = Adicionar. Negativo = Retirar. Reforço = Aumentar Comportamento. Punição = Diminuir Comportamento.;N/A
Atualidades;Relações Internacionais;Médio;Em 2024, o bloco de países conhecido como BRICS (Brasil, Rússia, Índia, China, África do Sul) passou por uma grande expansão, adicionando novos membros. Qual dos seguintes países NÃO se tornou membro pleno em 2024?;Egito;Irã;Arábia Saudita;Argentina;;d;Correto. A Argentina foi convidada, mas o novo governo (de Javier Milei) formalmente recusou o convite.;A expansão incluiu Egito, Etiópia, Irã, Arábia Saudita e Emirados Árabes Unidos.;N/A
Língua Portuguesa;Uso dos 'Porquês';Médio;Complete a frase: 'Eu não sei ___ ela faltou, mas sei que foi ___ estava doente.';por que / porque;porque / por que;por quê / porquê;por que / por quê;;a;Correto. 'por que' (separado) é usado para perguntas (diretas ou indiretas, 'por qual motivo'). 'porque' (junto) é usado para respostas (explicação).;Por que = Pergunta/Motivo. Porque = Resposta/Explicação. Por quê = Fim de frase. O Porquê = Substantivo.;N/A
Direito Administrativo;Licitações (Inexigibilidade);Difícil;A contratação de um artista consagrado pela crítica especializada ou pela opinião pública é um exemplo clássico de:;Licitação Dispensada;Licitação Dispensável;Concorrência;Inexigibilidade de Licitação;;d;Correto. Inexigibilidade (Art. 74 da Lei 14.133) ocorre quando há 'inviabilidade de competição', como na contratação de artista exclusivo ou notória especialização.;Inexigível = Impossível competir (ex: um show do Zeca Pagodinho, só o Zeca Pagodinho pode fazer).;Art. 74, II, Lei 14.133/21
Língua Portuguesa;Interpretação de Texto;Fácil;Um dos maiores desafios no ambiente corporativo é a comunicação clara. Muitos projetos falham não por falta de competência técnica, mas por ruídos na transmissão de ideias. A assertividade, nesse contexto, torna-se crucial. Segundo o texto:;A competência técnica é irrelevante para o sucesso de projetos.;A comunicação clara é um elemento secundário no ambiente corporativo.;Ruídos na comunicação podem comprometer a execução de projetos.;A assertividade é um obstáculo para a transmissão de ideias.;;c;Correto. O texto afirma que muitos projetos falham por ruídos na comunicação.;"Atenção aos termos-chave: \""desafios\"", \""falham\"", \""ruídos\"", \""crucial\"".";N/A
Língua Portuguesa;Pontuação;Médio;Assinale a alternativa em que o uso da vírgula está INCORRETO:;O gerente, após analisar os relatórios, tomou a decisão.;Oferecemos cursos de inglês, espanhol, e francês.;Embora chegasse atrasado, conseguiu fechar o negócio.;Ele, que sempre foi pontual, surpreendeu a todos.;;b;"Correto. A vírgula antes do \""e\"" em enumeração é incorreta (não se separa o último termo de uma lista com vírgula antes do \""e\"").";"Lembre-se: na enumeração, não se usa vírgula antes do \""e\"" a menos que os termos sejam independentes.";N/A
Língua Portuguesa;Regência Verbal;Médio;Assinale a alternativa em que a regência verbal está de acordo com a norma padrão:;O cliente aspira uma vaga no mercado de trabalho.;Precisamos de obedecer às regras do edital.;Todos anseiam por melhores oportunidades.;A empresa remeteu os produtos ao cliente.;;c;"Correto. \""Ansiar\"" é verbo transitivo indireto, regido pela preposição \""por\"".";"Verbos de desejo como \""aspirar\"", \""ansiar\"", \""almejar\"" geralmente exigem preposição.";N/A
Língua Portuguesa;Crase;Médio;Assinale a alternativa em que o uso do acento indicativo de crase é OBRIGATÓRIO:;Refiro-me àquele documento importante.;Vamos à São Paulo na próxima semana.;Ele chegou às pressas para a reunião.;A reunião será às 14 horas.;;d;Correto. Antes de horas é obrigatório o uso do acento indicativo de crase.;"Antes de palavras femininas e indicação de horas, verifique se há a contração \""a + a\"".";N/A
Matemática;Funções;Fácil;Dada a função f(x) = 2x² - 3x + 1, qual é o valor de f(2)?;3;5;7;9;;a;Correto. f(2) = 2(2)² - 32 + 1 = 24 - 6 + 1 = 8 - 6 + 1 = 3;Substitua x pelo valor dado (2) e calcule passo a passo.;f(x) = 2x² - 3x + 1
Matemática;Equações;Fácil;Qual é o conjunto solução da equação 2x - 4 = 3x + 1?;{-5};{5};{-3};{3};;a;Correto. 2x - 4 = 3x + 1 → 2x - 3x = 1 + 4 → -x = 5 → x = -5;Isole a incógnita x em um lado da equação.;2x - 4 = 3x + 1 → -x = 5 → x = -5
Matemática;Funções;Fácil;Seja f(x) = 3x - 1. Qual é a raiz da função?;1/3;-1/3;3;-3;;a;Correto. Raiz é quando f(x)=0: 3x - 1 = 0 → 3x = 1 → x = 1/3;Iguale a função a zero e resolva a equação.;f(x) = 0 quando 3x - 1 = 0
Matemática;Sistemas Lineares;Médio;Qual é a solução do sistema: 2x + y = 7 e x - y = 2?;(3,1);(1,3);(2,3);(3,2);;a;Correto. Somando as equações: 3x = 9 → x = 3. Substituindo: 3 - y = 2 → y = 1;Some as duas equações para eliminar y e encontrar x.;2x + y = 7 E x - y = 2
Raciocínio Lógico;Lógica Proposicional;Fácil;"A negação de \""Todo bancário é pontual\"" é:";Nenhum bancário é pontual.;Algum bancário não é pontual.;Todo bancário não é pontual.;Algum bancário é pontual.;;b;"Correto. A negação de \""todo A é B\"" é \""algum A não é B\"".";"Para negar \""todo\"", basta encontrar um contraexemplo (\""algum... não\"").";N/A
Raciocínio Lógico;Raciocínio Sequencial;Médio;Qual é o próximo termo da sequência: 2, 6, 12, 20, 30, ...?;40;42;44;46;;b;Correto. As diferenças são 4,6,8,10, então próxima diferença é 12: 30+12=42;Analise as diferenças entre termos consecutivos.;Padrão: n×(n+1) onde n=1,2,3,...
Atualidades do Mercado Financeiro;Sistema Financeiro;Fácil;Qual é o principal índice de inflação monitorado pelo Banco Central para o regime de metas de inflação?;IPCA;INPC;IGP-M;IPCA-15;;a;Correto. O IPCA (Índice de Preços ao Consumidor Amplo) é o índice oficial para o regime de metas de inflação.;O Banco Central tem como meta oficial o IPCA.;N/A
Atualidades do Mercado Financeiro;Política Monetária;Médio;Quando o COPOM aumenta a taxa Selic, qual é o efeito esperado sobre a economia?;Estímulo ao consumo e ao crédito.;Contração da atividade econômica e controle inflacionário.;Desvalorização do câmbio.;Aumento imediato da inflação.;;b;Correto. A alta da Selic visa frear a demanda para controlar a inflação.;Selic alta = crédito caro = consumo reduzido = inflação controlada.;N/A
Matemática Financeira;Juros Simples;Fácil;Um capital de R$ 1.000,00 é aplicado a juros simples de 2% ao mês. Qual será o montante após 5 meses?;R$ 1.100,00;R$ 1.200,00;R$ 1.020,00;R$ 1.102,00;;a;Correto. J = C × i × t = 1000 × 0,02 × 5 = 100. M = C + J = 1000 + 100 = 1100;Juros simples: os juros são constantes a cada período.;J = C × i × t E M = C + J
Matemática Financeira;Juros Compostos;Médio;Qual o montante de R$ 2.000,00 aplicado a juros compostos de 3% ao mês por 2 meses?;R$ 2.120,00;R$ 2.121,80;R$ 2.060,00;R$ 2.180,00;;b;Correto. M = C × (1+i)^t = 2000 × (1,03)^2 = 2000 × 1,0609 = 2121,80;"Juros compostos: \""juros sobre juros\"". Use a fórmula do montante.";M = C × (1+i)^t
Conhecimentos Bancários;Sistema Financeiro Nacional;Fácil;Qual instituição é responsável pela supervisão do Sistema Financeiro Nacional?;Banco Central do Brasil;Comissão de Valores Mobiliários (CVM);Conselho Monetário Nacional (CMN);Superintendência de Seguros Privados (SUSEP);;a;Correto. O BACEN é o supervisor do SFN.;BACEN = executor e supervisor E CMN = formulador de políticas.;N/A
